222: 285, 397, 466, 677, 842, 1454
333: 981, 1246, 1442, 2239, 2970, 5386
333bf: 2475, 3429, 4893, 10242, 14045, 22777
333fm: 2600, 2900, 3133, 3733, 4100, 4800
333ft: 3178, 4491, 5419, 9631, 12544, 19977
333oh: 1440, 1804, 2052, 2906, 3514, 5125
444: 3514, 4365, 4918, 7083, 9352, 11011
555: 10937, 12936, 14368, 18579, 21192, 27506
666: 15887, 18581, 21107, 26972, 30655, 39510
777: 687, 882, 1035, 1578, 1990, 3235
clock: 4835, 6069, 7011, 10018, 11740, 16797
minx: 402, 595, 738, 1134, 1368, 1962
pyram: 393, 549, 656, 1052, 1329, 2086
skewb: 1030, 1460, 1834, 3020, 3754, 5862
